SIGF,ID,Oxygen,Deuterium,Site,Date,Time,Estimated,Date_Time
K170,"	""DS18 7/8/18 F",-5.62,-23.9,Downstream,7/8/18,3:50,,7/8/18 3:50
K171,"	""DS19 7/8/18 F",-5.49,-25.9,Downstream,7/8/18,5:30,,7/8/18 5:30
K172,"	""US19 7/8/18 F",-5.38,-25.6,Upstream,7/8/18,6:05,,7/8/18 6:05
K173,"	""DS20 7/8/18 F",-5.44,-24.9,Downstream,7/8/18,7:51,,7/8/18 7:51
K174,"	""US20 7/8/18 F",-5.31,-24.1,Upstream,7/8/18,7:56,,7/8/18 7:56
K175,"	""DS21 7/8/18 F",-5.48,-24.5,Downstream,7/8/18,9:40,,7/8/18 9:40
K176,"	""US21 7/8/18 F",-6.13,-32.3,Upstream,7/8/18,10:00,,7/8/18 10:00
K177,"	""DS22 7/8/18 F",-5.27,-38.3,Downstream,7/8/18,12:00,Estimated,7/8/18 12:00
K178,"	""US22 7/8/18 F",-5.17,-27.1,Upstream,7/8/18,12:10,Estimated,7/8/18 12:10
K179,"	""US UP 7/8/18 F",-5.11,-27.8,UpstreamUP,7/8/18,13:45,,7/8/18 13:45
K180,"	""US23 7/8/18 F",-5.01,-26,Upstream,7/8/18,13:59,,7/8/18 13:59
K181,"	""DS23 7/8/18 F",-5.33,-24.7,Downstream,7/8/18,14:01,,7/8/18 14:01
K182,"	""US24 7/8/18 F",-4.94,-26.3,Upstream,7/8/18,15:40,,7/8/18 15:40
K183,"	""DS24 7/8/18 F",-4.86,-25,Downstream,7/8/18,15:50,,7/8/18 15:50
K184,"	""Rain 7/4/8 UF",-3.21,-12.2,Rain,7/4/18,,,7/4/18 0:00
K185,"	""DS25 F",-4.76,-24.6,Downstream,7/8/18,17:30,,7/8/18 17:30
K186,"	""US25 7/8/18 F",-4.91,-23.9,Upstream,7/8/18,17:40,,7/8/18 17:40
K187,"	""US16 7/7/18 F",-4.89,-24.1,Upstream,7/7/18,23:40,,7/7/18 23:40
K188,"	""US17 7/8/18 F",-4.83,-23.6,Upstream,7/8/18,1:50,,7/8/18 1:50
