ID,Site,Source,Temp,SPCOND,pH,ORP,AlkalinityW,NH3_f,H2S_f,NO3_f,DOC,TDN,TotalN,Cl,Fl,NO2,NO3,SO4,Li,Na_IC,K_IC,Mg_IC,Ca_IC,Mo,Cd,Sb,Pb,U,Al,Si,P,S,Ca,Cr,Mn,Fe,Co,Ni,Cu,Ti,Zn,B,Sr,K,As,Na,Mg,O18,D
USLB,Soil,Soil,22.5,129.1,6.8,191.0,50,2.48,0.85,0.61,0.35,0.06,3.09,1.9443,0.0201,2.2651,0.189,0.9585,0.0021,7.8051,2.9729,2.3521,11.1523,,,,,,,,,,,,,,,,,,,,,,,,,-4.76,-25.3
US2,Upstream,Stream,21.9,118,7,350.0,48.8,0.37,0.02,0.48,0.50,0.10,0.85,1.9487,0.0364,2.0311,0.0778,0.8304,,7.632,3.4369,2.1078,10.7794,,,,,,,,,,,,,,,,,,,,,,,,,-4.73,-23.8
US3,Upstream,Stream,21.9,119.6,7,338.0,50.4,,,0.24,1.91,0.11,,1.9347,0.0042,2.1038,0.299,0.8368,,6.4086,3.2721,1.923,9.6787,,,,,,,,,,,,,,,,,,,,,,,,,-5.14,-24.9
US4,Upstream,Stream,21.9,115,7.1,354.0,50,0.48,0.25,1.29,0.31,0.11,1.77,1.9869,0.0183,2.1697,0.2719,0.8263,,6.4747,3.1192,1.9096,9.6881,,,,,,,,,,,,,,,,,,,,,,,,,-4.83,-22.4
US5,Upstream,Stream,21.9,110.2,7.1,359.0,60.8,1.06,0.38,0.42,0.70,0.09,1.48,2.0249,0.0049,2.3314,0.3597,1.0827,0.0026,8.6035,2.3841,1.9258,9.9208,,,,,,,,,,,,,,,,,,,,,,,,,-4.84,-22.9
US6,Upstream,Stream,21.9,116.7,7.1,363.3,47.4,0.09,0.12,0.1,2.10,0.11,0.19,2.0286,0.0065,2.3232,0.3448,1.1622,0.0028,9.5082,3.0526,2.0039,10.5015,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,-23.8
US7,Upstream,Stream,21.9,116.8,7.1,365.5,48.6,0.31,,1.35,0.27,0.11,1.66,3.0484,0.0119,2.2883,0.3666,0.9673,0.0022,10.4269,1.9718,1.9185,9.8484,,,,,,,,,,,,,,,,,,,,,,,,,-4.45,-23.5
US8,Upstream,Stream,21.9,116.8,7.1,367.3,108,,0.2,0.05,1.79,0.18,,1.9913,0.0045,2.2944,0.3431,0.9692,0.0015,8.3979,2.7668,2.015,10.1638,,,,,,,,,,,,,,,,,,,,,,,,,-4.64,-22.5
DS9,Downstream,Stream,22.1,106.4,7.6,199.3,42,,0.01,0.07,1.08,0.13,,2.25,0.0057,2.0738,0.2422,1.0014,0.0016,8.2907,2.487,1.8826,9.4699,,,,,,,,,,,,,,,,,,,,,,,,,-4.52,-25.2
US9,Upstream,Stream,21.9,115.1,7.1,365.2,41.8,0.08,0.07,0.08,0.62,0.10,0.16,2.076,0.015,2.2469,0.2763,1.044,0.0017,9.5217,2.7803,2.0456,10.2941,0.23,15.24,4.14,0.07,0.05,4.13,57.82,31.18,832.70,17.20,0.09,0.61,6.95,0.05,0.14,0.39,0.15,72.72,78.69,219.72,5.59,0.69,10.83,5.98,-4.84,-23.4
US10,Upstream,Stream,,,,,,,,,,,,,,,,,,,,,,0.25,0.66,3.72,0.06,0.05,3.64,57.39,31.92,828.82,17.37,0.06,0.43,3.15,0.02,0.09,0.48,0.15,53.11,102.94,221.34,5.57,0.66,11.09,6.02,-4.78,-22.7
DS9Bot,Downstream,Stream,22,110.7,7.6,267.1,45.8,0.01,0.05,0.05,2.53,0.11,0.06,2.173,0.0047,2.1278,0.1976,1.0792,0.0027,6.9641,3.061,2.0374,9.9914,,,,,,,,,,,,,,,,,,,,,,,,,-4.39,-23.7
DS11,Downstream,Stream,22,91.5,7.5,210.9,33.2,0.64,0.16,0.1,12.01,0.26,0.74,2.62,0.0182,1.6556,0.2551,1.4052,0.004,13.4456,1.4573,1.2997,6.9702,,,,,,853.77,49.33,18.05,1324.32,12.75,2.72,10.36,259.38,0.13,0.46,4.04,9.74,225.48,30304.03,157.29,4.54,0.49,24.01,4.11,-3.55,-23.3
US11,Upstream,Stream,21.9,113,7,366.9,44.2,0.07,0.03,0.07,1.94,0.18,0.14,2.2664,0.0238,1.9248,0.3376,0.9284,0.0023,9.4191,3.1465,1.7849,9.1115,0.15,0.86,3.35,0.04,0.04,22.41,48.74,26.07,871.45,15.16,0.11,0.36,12.58,0.06,0.10,0.78,0.41,37.80,170.90,194.36,5.35,0.60,10.07,5.18,-3.66,-18.2
DS12,Downstream,Stream,21.9,107,7.5,234.6,43.4,,0.02,0.06,1.20,0.11,,2.2138,0.0037,2.1027,0.2755,1.1921,0.0051,8.6418,2.987,1.9497,9.7109,,,,,,398.87,56.97,23.08,1039.84,15.59,0.97,1.76,28.44,0.04,0.17,2.16,5.63,42.49,17424.75,198.91,4.97,0.57,17.42,5.40,-4.4,-23.9
US12,Upstream,Stream,21.8,114.1,7.1,369.6,45,0.03,0.04,0.32,1.65,0.09,0.35,2.0837,0.0052,2.252,0.2953,1.0886,,7.0614,3.1368,2.0773,10.4623,,,,,,2.17,63.05,27.30,980.11,15.92,0.70,0.06,2.12,0.01,0.11,0.66,0.54,26.00,11126.84,201.69,5.23,0.63,14.95,5.58,-4.5,-24.6
DS13,Downstream,Stream,22,110.9,7.5,268.0,46.8,0.07,0.05,0.07,0.79,0.11,0.14,2.1255,0.0263,2.1372,0.2716,1.129,,5.7216,2.658,1.9183,9.7978,0.18,1.66,4.20,0.05,0.00,18.41,51.44,23.25,801.71,15.86,0.04,1.26,16.02,0.03,0.10,0.74,0.30,36.10,152.13,199.80,5.13,0.60,10.99,5.46,-4.52,-24.1
US13,Upstream,Stream,21.9,115.5,7,362.3,46.6,0.07,0.02,0.47,0.61,0.12,0.54,2.0599,0.0271,2.3841,0.2827,1.3065,0.003,9.6086,3.3174,2.1229,10.5755,,,,,,282.84,60.67,29.53,943.83,16.30,0.87,0.65,9.76,0.03,0.12,1.31,4.09,36.37,13404.54,210.31,5.33,0.65,15.70,5.69,-4.62,-23.8
DS14,Downstream,Stream,22,111.7,7.6,276.7,48,0.01,0.03,0.05,0.70,0.09,0.06,1.9951,0.0025,2.0426,0.2003,0.852,0.0014,5.7374,2.863,1.9377,9.8847,0.01,3.11,1.66,0.02,-0.02,5.40,23.54,10.69,337.65,7.11,0.01,0.44,2.83,0.01,0.02,0.23,0.08,4.93,13.23,89.16,2.27,0.27,4.45,2.55,-4.62,-23.5
US14,Upstream,Stream,21.9,116.6,7,369.0,51.8,0.07,0.03,0.09,0.62,0.18,0.16,2.0054,0.0115,2.1489,0.3536,1.0108,0.0043,10.5043,3.2045,2.1377,10.5961,,,,,,173.12,28.22,13.75,426.86,7.44,0.42,0.24,4.95,0.00,0.04,0.76,2.52,16.26,8213.21,95.44,2.54,0.30,9.00,2.73,-4.62,-24
DS15,Downstream,Stream,22,112.3,7.6,284.7,47.2,0.11,0.02,0.05,0.42,0.09,0.16,1.9781,0.0187,1.9626,0.1995,0.9456,0.0033,9.2446,2.9791,2.0636,10.2491,,,,,,1.36,27.23,10.92,402.77,6.82,0.29,0.22,1.68,0.00,0.04,0.55,0.32,23.97,4676.31,86.73,2.21,0.28,6.94,2.48,-4.56,-23.6
US15,Upstream,Stream,21.8,116.4,7,371.3,49.2,0.05,0.01,1.45,0.61,0.11,1.5,2.1069,0.0138,2.2173,0.3045,1.0925,0.0016,9.959,3.2462,2.153,10.6824,0.01,31.62,1.80,0.04,-0.01,0.89,25.52,13.55,411.09,7.55,0.02,0.30,1.56,0.01,0.04,0.74,0.05,22.43,64.01,95.91,2.57,0.27,5.36,2.76,-4.87,-23.8
DS16,Downstream,Stream,22,110.4,7.6,289.4,48,1.19,0.5,0.41,0.63,0.07,1.6,2.0477,0.016,2.0266,0.2858,1.002,0.0021,9.1506,2.8657,2.0245,10.1267,0.00,0.04,1.58,0.02,-0.03,4.17,24.07,10.95,350.05,7.33,0.01,0.40,2.49,0.00,0.02,0.33,0.06,27.62,53.35,92.55,2.37,0.27,5.11,2.64,-4.78,-22.8
US16,Upstream,Stream,21.9,116.2,7,372.7,49.6,0.44,0.21,0.37,0.71,0.08,0.81,2.0207,0.0376,1.9686,0.3078,0.8535,0.0012,8.0565,2.684,1.9961,10.0657,,,,,,139.74,25.64,11.18,345.25,7.12,0.29,0.41,4.77,0.00,0.05,0.41,1.08,39.23,4700.77,90.08,2.49,1.12,6.98,2.61,-4.89,-24.1
DS17,Downstream,Stream,21.9,111,7.6,296.2,52,0.08,0.02,0.22,0.48,0.09,0.3,2.1394,0.0628,1.8965,0.1717,0.7553,0.0013,10.3222,2.2619,1.994,10.2174,0.19,0.95,0.03,0.21,-0.02,166.84,26.26,10.35,335.93,7.03,0.30,0.57,6.76,0.01,0.06,0.41,1.35,31.49,5698.78,88.66,2.45,1.23,6.86,2.51,-5.83,-27.8
US17,Upstream,Stream,21.8,116.4,7.1,373.3,49.8,1.41,0.42,0.49,0.30,0.10,1.9,1.9655,0.0084,2.0935,0.2585,0.8619,0.0015,9.1939,3.4291,2.1364,10.7815,0.22,0.08,0.03,0.20,0.00,162.00,27.78,13.90,856.95,7.32,0.48,0.25,3.76,0.00,0.06,0.43,1.29,136.18,5615.97,97.00,1.91,1.25,9.97,2.68,-4.83,-23.6
DS18,Downstream,Stream,21.9,111.3,7.6,296.9,46,0.2,0.08,0.22,1.07,0.09,0.42,2.0898,0.0605,1.8167,0.1998,0.8004,0.0011,9.1976,2.3397,1.9712,10.0264,0.17,0.08,0.03,0.19,-0.02,156.16,25.18,10.52,352.05,6.84,0.32,0.56,6.00,0.01,0.05,0.63,1.28,33.40,5198.65,86.20,2.49,1.22,7.10,2.43,-5.62,-23.9
US18,Upstream,Stream,21.8,116.3,7.1,373.4,51,0.04,0.06,0.24,13.69,0.10,0.28,1.9447,0.0033,1.9217,0.2445,0.8053,0.0013,8.7801,2.6783,2.0779,10.685,0.22,0.69,0.03,0.22,0.00,175.29,28.34,13.83,352.34,7.61,0.34,0.27,4.06,0.01,0.05,1.19,1.39,27.62,6111.61,95.28,2.68,1.28,7.06,2.69,-5.63,-27.6
DS19,Downstream,Stream,21.8,105.1,7.5,296.7,46.6,0.59,0.1,0.22,0.87,0.10,0.81,2.0244,0.0506,1.9512,0.1501,0.8823,0.0013,9.3818,2.3638,2.0016,10.1633,0.18,0.11,0.04,0.22,-0.02,159.11,25.81,9.99,348.42,6.90,0.31,0.72,5.70,0.01,0.06,0.61,1.24,31.98,5655.69,87.02,2.38,1.19,6.69,2.40,-5.49,-25.9
US19,Upstream,Stream,21.8,117,7,376.1,49.6,0.01,0.01,0.05,0.61,0.09,0.06,1.9553,0.0169,1.9704,0.3619,0.8322,0.0012,9.1117,2.5424,2.0755,10.485,0.21,0.40,0.03,0.18,0.00,156.92,27.74,13.65,360.27,7.44,0.29,0.23,3.74,0.00,0.03,0.38,1.23,42.26,5356.21,94.37,2.68,1.32,7.29,2.71,-5.38,-25.6
DS20,Downstream,Stream,21.9,111,7.6,299.0,48.4,0,0,0.07,0.96,0.10,0.07,4.1368,0.0803,1.8661,0.3283,0.8464,0.0012,12.107,1.7666,1.9183,9.7286,0.17,1.08,0.03,0.26,-0.02,192.51,26.52,10.62,358.61,7.05,0.34,0.60,7.81,0.06,0.08,0.64,1.57,37.48,6365.97,87.88,2.56,1.35,7.42,2.46,-5.44,-24.9
US20,Upstream,Stream,21.8,117.7,7.1,376.0,51.6,0.04,,0,13.63,0.17,0.04,1.9634,0.0052,2.0992,0.2365,0.9128,0.0012,10.331,2.733,2.1189,10.7612,0.20,0.36,0.03,0.20,0.00,162.90,28.54,14.08,357.52,7.70,0.29,0.22,4.03,0.01,0.04,0.39,1.34,12.26,5491.65,98.02,2.69,1.18,6.92,2.71,-5.31,-24.1
DS21,Downstream,Stream,22,112.7,7.6,300.3,48.6,0,0,0.08,0.77,0.07,0.08,2.0276,0.0598,1.9152,0.3051,0.8725,0.0009,8.6844,2.5399,2.0099,10.3154,0.21,0.51,0.03,0.24,-0.01,184.64,26.58,10.86,348.54,7.03,0.35,0.66,5.82,0.01,0.04,0.48,1.49,37.77,6830.28,89.27,2.56,1.47,7.88,2.46,-5.48,-24.5
US21,Upstream,Stream,21.8,117.6,7.1,375.9,50.8,0,0.05,,0.68,0.10,0,3.8401,0.012,2.0396,0.4076,0.898,0.0008,12.315,2.1524,2.0743,10.4979,0.23,0.22,0.03,0.21,0.00,167.74,28.75,14.55,370.50,7.85,0.34,0.19,3.74,0.01,0.04,0.40,1.31,59.38,6149.54,98.65,2.76,1.44,8.03,2.70,-6.13,-32.3
DS22,Downstream,Stream,22.0,110.6,7.6,288.4,34.8,0.02,0,0.03,0.48,0.07,0.05,4.2577,0.034,1.9363,0.2855,0.8425,0.0012,12.6474,1.9369,1.9755,9.9545,0.18,1.15,0.03,0.19,-0.01,155.85,26.25,11.03,346.84,7.24,0.28,0.44,5.19,0.01,0.03,0.43,1.26,53.26,5329.52,88.65,2.37,1.14,7.12,2.34,-5.27,-38.3
US22,Upstream,Stream,21.9,116.2,7,372.7,52.4,0.03,0,0.05,0.61,0.09,0.08,1.9351,0.0094,2.0565,0.2847,0.8303,0.0012,8.9733,2.9164,2.124,10.8692,0.22,2.65,0.03,0.18,0.00,147.17,27.67,14.54,365.25,7.74,0.48,0.21,6.67,0.09,0.04,0.36,1.14,126.70,5246.81,96.85,2.66,1.23,7.99,2.70,-5.17,-27.1
DS23,Downstream,Stream,22.1,112.1,7.6,307.2,50.6,0.14,0.01,0.05,0.80,0.12,0.19,2.0359,0.0641,1.9375,0.3169,0.8532,0.0012,9.1539,2.8531,2.0638,10.4386,0.21,0.09,0.03,0.22,-0.01,175.28,26.93,11.74,351.73,7.18,0.34,0.49,5.69,0.00,0.04,0.47,1.38,36.37,5868.20,90.87,2.28,1.16,6.80,2.17,-5.33,-24.7
US23,Upstream,Stream,21.9,115.9,7,373.5,50.6,0.15,0,0.05,0.68,0.12,0.2,1.9839,0.0287,2.0285,0.3688,0.8667,0.0011,9.4699,3.0689,2.1577,10.9792,0.22,0.10,0.03,0.24,0.00,166.97,28.81,14.95,370.72,7.58,0.32,0.54,6.20,0.03,0.05,0.63,1.33,37.51,5380.49,96.53,2.74,1.34,7.90,2.55,-5.01,-26
DS24,Downstream,Stream,22,113.5,7.6,308.7,,,,,0.55,0.08,0,2.0577,0.0471,1.8933,0.2882,0.8467,0.001,8.4236,2.4983,1.9744,10.1255,0.19,0.38,0.03,0.22,-0.02,169.50,25.88,11.66,359.12,7.27,0.30,0.56,8.09,0.01,0.04,0.47,1.34,41.66,5597.78,88.82,2.60,1.25,7.80,2.67,-4.86,-25
US24,Upstream,Stream,21.9,115.9,7.1,373.9,49.4,0.1,0.05,0.05,0.63,0.12,0.15,1.9842,0.0733,2.0363,0.3475,0.8713,0.0009,9.3371,3.0923,2.1363,10.8724,0.23,0.18,0.03,0.22,0.00,170.82,27.39,13.67,350.15,7.30,0.35,0.36,3.66,0.00,0.03,0.49,1.32,37.28,6017.96,92.19,2.70,1.31,7.92,2.73,-4.94,-26.3
DS25,Downstream,Stream,22,110.6,7.6,288.4,,0,0.01,0.1,0.75,0.10,0.1,2.0521,0.0716,1.979,0.3196,0.8586,0.0012,9.2627,3.0013,2.0365,10.2925,0.22,0.20,0.03,0.23,-0.02,196.86,26.20,12.48,369.30,7.38,0.41,0.50,7.15,0.01,0.04,0.52,1.54,85.55,6104.07,91.75,2.47,1.34,7.81,2.70,-4.76,-24.6
US25,Upstream,Stream,21.9,115.7,7.1,375.4,52.8,0.09,0.02,0.05,0.64,0.09,0.14,1.9571,0.0082,1.8773,0.3382,0.7278,0.001,9.3336,3.1734,2.1641,10.8318,0.21,0.15,0.03,0.19,0.00,179.65,27.00,14.48,362.52,7.53,0.37,0.28,4.12,0.00,0.03,0.42,1.39,64.43,5929.23,95.45,2.73,1.34,7.88,2.80,-4.91,-23.9
US UP,Spring,Spring,22.6,96.3,7.3,,41.4,0.16,0.01,0.04,0.93,0.08,0.2,2.6292,0.024,1.8225,0.2262,0.7837,0.0015,10.0458,1.8237,1.5141,8.4745,0.14,2.38,0.03,0.21,-0.03,165.67,25.06,9.55,299.72,6.05,0.35,0.69,60.15,0.01,0.08,0.78,1.29,53.76,5675.69,82.57,2.45,1.13,7.23,1.98,-5.11,-27.8
Rain 1,Rain,Rain,,,,,,,,,,,,2.090,0.058,0.306,0.242,0.660,0.003,5.169,0.109,0.076,0.299,0.05,0.14,0.03,0.20,-0.04,292.00,5.48,3.04,376.20,0.29,0.64,5.37,10.70,0.63,0.24,1.35,3.42,53.48,12283.60,2.62,0.18,1.96,6.71,0.14,-2.44,-10.6
Rain 2,Rain,Rain,,,,,,,,,,,,0.831,0.000,0.247,0.164,0.413,0.001,2.519,0.142,0.045,0.225,,,,,,,,,,,,,,,,,,,,,,,,,-3.21,-12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
